source,target,type
318,115,Directed
317,116,Directed
317,117,Directed
320,118,Directed
317,119,Directed
317,120,Directed
317,121,Directed
321,122,Directed
317,123,Directed
317,125,Directed
317,126,Directed
314,127,Directed
323,128,Directed
317,129,Directed
321,149,Directed
321,150,Directed
321,151,Directed
315,152,Directed
315,153,Directed
316,154,Directed
324,155,Directed
324,156,Directed
324,157,Directed
324,158,Directed
324,159,Directed
318,162,Directed
318,163,Directed
318,164,Directed
318,165,Directed
318,166,Directed
318,167,Directed
318,168,Directed
318,169,Directed
318,180,Directed
325,181,Directed
325,182,Directed
320,192,Directed
316,195,Directed
316,197,Directed
326,199,Directed
316,200,Directed
316,201,Directed
327,202,Directed
327,203,Directed
327,204,Directed
327,205,Directed
316,227,Directed
316,232,Directed
328,266,Directed
329,267,Directed
330,268,Directed
331,269,Directed
332,270,Directed
333,271,Directed
334,272,Directed
335,273,Directed
336,274,Directed
337,275,Directed
337,276,Directed
337,277,Directed
338,278,Directed
339,279,Directed
340,280,Directed
341,281,Directed
