source,target,type,weight
92,365,Undirected,51.09143
89,34,Undirected,1124.210099
94,368,Undirected,341.480855
94,369,Undirected,71.319526
89,268,Undirected,1318.76858
95,359,Undirected,88.695512
95,323,Undirected,68.814565
93,370,Undirected,69.098044
95,371,Undirected,208.316709
95,372,Undirected,54.621537
93,373,Undirected,27.7055
86,375,Undirected,319.959235
86,359,Undirected,72.927174
86,376,Undirected,80.11903
97,375,Undirected,206.857817
89,377,Undirected,388.271991
89,378,Undirected,2709.293099
89,379,Undirected,144.698352
89,359,Undirected,222.541073
89,278,Undirected,32.773901
98,379,Undirected,341.342491
98,380,Undirected,36.890573
98,381,Undirected,73.756559
98,350,Undirected,67.804678
98,301,Undirected,40.054078
89,382,Undirected,199.940867
89,358,Undirected,480.156377
89,304,Undirected,649.170013
89,349,Undirected,518.353364
89,383,Undirected,18.639328
89,362,Undirected,261.775264
89,217,Undirected,418.304641
89,299,Undirected,887.667812
89,261,Undirected,51.987549
83,386,Undirected,510.249769
83,387,Undirected,121.935114
83,225,Undirected,83.616397
83,369,Undirected,223.764447
83,286,Undirected,229.268682
83,194,Undirected,47.354323
89,389,Undirected,56.179741
97,318,Undirected,86.163793
99,317,Undirected,282.189931
99,188,Undirected,250.973817
100,352,Undirected,172.988873
101,390,Undirected,487.83908
86,251,Undirected,380.719201
86,391,Undirected,249.205289
95,394,Undirected,83.936015
95,396,Undirected,161.378967
0,379,Undirected,45.916287
0,397,Undirected,172.334238
0,375,Undirected,36.269933
0,400,Undirected,980.553564
0,402,Undirected,208.261907
103,400,Undirected,54.593871
60,246,Undirected,296.450171
104,79,Undirected,105.816573
10,404,Undirected,154.524707
47,196,Undirected,110.8397
20,382,Undirected,90.506793
105,105,Undirected,126.528971
103,304,Undirected,56.585556
106,406,Undirected,57.620164
89,407,Undirected,58.158102
47,292,Undirected,147.939627
111,413,Undirected,50.451821
111,283,Undirected,16.563264
83,350,Undirected,71.530664
52,217,Undirected,124.231153
84,375,Undirected,18.610901
90,299,Undirected,358.653478
90,361,Undirected,1851.877118
112,292,Undirected,22.924975
42,292,Undirected,26.122874
83,292,Undirected,23.95222
90,292,Undirected,18.981246
83,349,Undirected,71.547641
90,349,Undirected,27.120251
89,209,Undirected,26.023297
112,209,Undirected,75.243875
42,209,Undirected,66.826469
0,299,Undirected,26.932009
91,307,Undirected,16.759812
91,415,Undirected,15.599061
91,204,Undirected,27.276658
91,416,Undirected,16.850052
91,417,Undirected,12.806461
113,376,Undirected,42.119953
81,209,Undirected,194.140601
81,304,Undirected,162.281592
81,329,Undirected,95.749285
81,362,Undirected,91.324812
0,362,Undirected,57.976373
112,358,Undirected,421.393848
39,423,Undirected,127.248857
115,424,Undirected,188.642946
60,304,Undirected,287.133317
86,268,Undirected,821.064544
89,425,Undirected,1469.744356
104,426,Undirected,201.571526
86,352,Undirected,39.93582
96,428,Undirected,90.634392
96,296,Undirected,106.595672
344,429,Undirected,39.453242
47,268,Undirected,71.337886
60,264,Undirected,163.789753
42,407,Undirected,311.907689
120,423,Undirected,21.179804
124,435,Undirected,299.318999
125,308,Undirected,66.121012
90,407,Undirected,244.547887
124,186,Undirected,227.282088
91,217,Undirected,54.11237
107,439,Undirected,27.051723
112,264,Undirected,24.389037
112,377,Undirected,13.8998
112,352,Undirected,19.101145
112,43,Undirected,24.733373
111,440,Undirected,208.60097
42,441,Undirected,172.57361
126,328,Undirected,71.301092
111,361,Undirected,190.36783
62,288,Undirected,183.500209
60,288,Undirected,47.000908
62,304,Undirected,109.224642
60,443,Undirected,61.541693
62,443,Undirected,117.62374
103,291,Undirected,64.726535
83,444,Undirected,135.889716
83,301,Undirected,143.725564
83,372,Undirected,145.302723
83,246,Undirected,30.034958
83,197,Undirected,45.824297
83,445,Undirected,51.305372
83,433,Undirected,30.416505
83,222,Undirected,42.739731
83,446,Undirected,80.03634
83,417,Undirected,10.910522
83,368,Undirected,26.461708
89,447,Undirected,1462.627827
90,448,Undirected,352.015873
90,449,Undirected,95.606971
90,224,Undirected,64.721705
90,451,Undirected,135.328611
0,268,Undirected,185.838864
128,207,Undirected,130.314891
47,423,Undirected,95.295319
0,353,Undirected,214.893074
0,332,Undirected,190.772651
0,453,Undirected,115.761818
129,346,Undirected,61.566488
98,446,Undirected,375.630221
98,455,Undirected,271.06016
98,253,Undirected,45.070135
98,439,Undirected,103.830679
98,456,Undirected,74.449674
98,457,Undirected,397.595817
98,458,Undirected,83.760615
109,459,Undirected,88.95692
109,460,Undirected,86.401668
109,461,Undirected,140.593993
109,235,Undirected,47.559131
47,377,Undirected,42.180147
